Year,Total,Large,Eastern,Small
1986,41.39,38.56,,2.83
1987,39.94,37.13,,2.81
1988,38.93,36.18,,2.75
1989,38.01,35.3,,2.71
1990,36.42,33.67,,2.75
1991,34.75,32.02,,2.73
1992,34.54,31.83,,2.71
1993,33.99,31.42,,2.57
1994,34,31.31,,2.69
1995,32.79,30.04,,2.75
1996,31.29,28.54,,2.75
1997,29.82,26.91,,2.91
1998,28.99,25.75,,3.24
1999,26.21,24.12,,2.09
2000,25.55,22.93,,2.62
2001,23.55,21,,2.55
2002,21.28,18.7,,2.58
2003,19.95,17.3,,2.65
2004,19.21,16.4,,2.81
2005,18.63,15.77,,2.86
2006,16.46,13.47,,2.99
2007,14.76,4.45,7.03,3.28
2008,11.52,4.14,4.11,3.27
2009,10.03,3.96,2.78,3.29
2010,11.69,3.87,4.41,3.41
2011,9.26,3.87,2.12,3.27
2012,9.22,3.69,2.15,3.38
2013,8.6,3.67,1.51,3.42
2014,7.66,3.27,0.96,3.43
2015,9.21,3.01,3.13,3.07
2016,7.22,2.92,1.25,3.05
2017,8.35,2.71,2.51,3.13
2018,6.99,2.68,1.28,3.03
2019,3.09,1.07,1.5,0.52
2020,2.99,1.07,1.4,0.52
2021,3.25,1.05,1.2,1
2022,2.79,1.11,0.35,1.33
2023,2.1,0.87,0.08,1.15
